Question,Answer
What are the pros and cons of a headless platform?,"ProsFlexible developer environment to create and manage content across multiple channelsAbility to create and deploy tailored customer experiences quicklyAbility to learn, change and iterate direction quicklyShare content programmatically with other systemsCreate workflows and recurring processes that communicate with the platform and other systemsAdvanced security provided by simple interactions through APIsImproved performance, ability to create static content and have websites that are fastScale, ability to handle peaks and large volumes of website content from a single sourceConsHave flexibility that may require developer involvementManual application managementOut-of-the-box functionality may be limitedFlexibility in the presentation layer can be limitedSetup maybe be more complex in terms of structuring data types, components and layoutsSome systems are missing admin/authoring capabilities with features like preview, analytics and permissioningSite control can be split amongst a number of content systemsPersonalization may require more developmentAnalytics capabilities can be limited** Many of the Cons above have been solved within the Core dna platform as we continue to provide hybrid support for the traditional authoring environment.Read this next: Hybrid CMS: A Headless CMS, But With a Front-End"
How is a headless platform different from a decoupled platform?,There are a number of differences between headless and decoupled platforms; these include:Flexible content models that allow you to describe your data in the headless platforms.Advanced APIs that can use query languages for APIs like GraphQL.Headless platforms are designed to deliver content quickly and efficiently without any overhead.Decoupled platforms are generally connected to a display layer templating language for building user interfaces.Headless platforms may not have any display of layer templating. Hybrid platforms like Core dna do still offer templating languages and admin interfaces for the convenience of admins.A high degree of customization & flexibility for developers in the headless platform.
Can traditional CMS/eCommerce be used with a headless platform?,"This depends on the traditional platform. With a headless CMS, the key difference is its ability to create different content types and then make that content available through an application programming interface (API). If a traditional CMS is able to process API requests it can be integrated with a headless platform. If it's not then programmers will need to process the API requests outside of the traditional CMS, through the use of javascript in the display of the website. Understanding what a traditional CMS isA monolithic or traditional cms is a content management system that stores all of its content in a single database. This means that all of your content, including pages, posts, comments, and media, are stored in one place. A monolithic cms is best suited for small websites with relatively simple content structures. If you have a large website with complex content, you may want to consider a different type of content management system.Understanding what a headless CMS isA Headless Content Management System (CMS) enables users to manage and store content without the need for a graphical user interface (GUI). A headless CMS is often used in conjunction with a “front-end” website or application that provides a GUI for end users.You can learn more about headless vs monolithic in this guide: What is a headless CMS The difference between headless vs traditional CMS What is a decoupled CMS Headless vs decoupled CMS Things to consider when choosing a headless CMS Headless CMS case studiesGET IN TOUCH TODAYSchedule a one-to-one consultation with your product specialistHere’s what you can expect:Walkthrough: An introduction of the Core dna platformAnalysis: Personalized recommendations based on your  business needs.Case studies: How other businesses have used Core dna to scale more efficiently Request a Demo "
Is Core dna a headless platform or a decoupled platform?,"Core dna is a decoupled platform, meaning we have headless content management built-in, but we also give you the front-end tools you need to present your content to your end-user."
How do I know if a headless platform is right for me?,"The easiest way to determine if a headless platform is best for you is to ask yourself these questions:What are your business requirements and does a headless platform solve these requirements?Do you have access to qualified individuals to help with the setup and ongoing management of the platform?Can you determine the content types that you will require (e.g. buttons, headers, lists, options, etc.)?Do you want to design your own components using the content types you can define? You can always add components later but planning up front will help with organizing your content for distribution.Determine if you want to enrich your content with templates and styling to create consistent output and not just data.Do you want to test the output from the headless platform using tools that allow you to make API calls?Do you want to configure the destination systems to accept the information?In the case of Core dna, we provide an admin panel to help with the creation of the content and preview of the content. We also give you a number of tools for security and personalization. Finally, we have defined a number of entities that give you the starting point for your project to help with quick deployment.Read this next: How to Choose The Best CMS Platform to Help Drive Your Business Growth"
What front-end frameworks does Core dna support? ,"Core dna is framework agnostic.An agnostic framework means you can create any design using the front-end technology and frameworks that you know and love.We believe in being open-minded and non-discriminatory when it comes to technology choices, and we want our clients to feel empowered to use whatever works best for them and their projects, regardless of whether it's something we've already tried and failed with before! Core dna never requires you to use specific templates or libraries. As a decoupled platform, Core dna also has server side templating that can be used to deliver projects quickly and efficiently using only HTML, CSS and Javascript. The server side frameworks supported are Twig and Smarty.What is an agnostic framework?An approach to software development that doesn't favor any one language or technology over another. Agnosticism is a philosophical position which states that it is not possible to know anything about God or other supernatural beings. A Software Agnostic approach would say that there is no right or wrong when it comes to the tools you use in your job as long as they get the job done.What is Smarty?Smarty is a template engine for PHP. More specifically, it facilitates a manageable way to separate application logic and content from its presentation. This is best described in a situation where the application programmer and the template designer play different roles, or in most cases are not the same person. It is extremely fast. It is efficient since the PHP parser does the dirty work. No template parsing overhead, only compiles once.What is Twig?Twig is a modern template engine for PHP. It's fast. Twig compiles templates down to plain optimized PHP code. The overhead compared to regular PHP code was reduced to the very minimum. It is secure. Twig has a sandbox mode to evaluate untrusted template code. This allows Twig to be used as a template language for applications where users may modify the template design. It is flexible. Twig is powered by a flexible lexer and parser. This allows the developer to define its own custom tags and filters, and create its own DSL.What is a decoupled platform?A decoupled platform is a software architecture where components are independent of each other. This allows for easier development, testing, and maintenance of the individual pieces that make up the whole product or system.Decoupled platform advantages: A decoupled platform will allow your software to be more easily scalable and upgradable as new technologies become available. It also means your developers won't have to worry about updating multiple parts of your application every time there's an update released; they'll just need to update one piece at a time!GET IN TOUCH TODAYSchedule a one-to-one consultation with your product specialistHere’s what you can expect:Walkthrough: An introduction of the Core dna platformAnalysis: Personalized recommendations based on your  business needs.Case studies: How other businesses have used Core dna to scale more efficiently Request a Demo "
What is the difference between monolithic & headless platforms?,"There are a number of differences between Monolithic systems and a Headless system, these include:Monolithic systems have lots of functionality built into them that not all customers need.A headless platform gives you access to entities, examples of these are pages, menus, products, blogs, people, etc. Entities are the base objects that you can then modify and enhance to your requirements.Monolithic systems are more focused on delivering solutions to the end client rather than the developer. Core dna’s platform strikes a balance between the developer environment and the admin environment.Headless platforms in many cases don’t come with admin tools for end clients. Core dna continues to provide admin friendly tools inside our headless platform.Access to information from a monolithic system can be difficult.Monolithic systems require you to establish the infrastructure and the security tools to make them work.Monolithic systems can take time to learn and understand the way they work.Headless platforms allow you to create your own publishing environments.Read this next: Headless CMS vs Decoupled CMS: The Ultimate Guide"
Can I build eCommerce websites with Core dna?,You sure can. Global brands trust Core dna to build and operate eCommerce websites in multiple regions and continents. Our eCommerce feature set includes everything from inventory management to detailed analytics. See Core dna’s eCommerce features.
Can I build digital workplace solutions with Core dna?,Yes. Core dna can build intranets and social communities for professionals that enhance communication and collaboration.See Core dna’s digital workplace features.
Is Core dna future-proof? What happens when new devices come out?,"Thanks to Core dna’s decoupled nature, paired with our microservice architecture, our DXP is ready for anything. If your content is managed by Core dna, you’ll always be able to deliver it to any new device that emerges on the market."
When was Core dna launched? ,"Core dna was launched in 2015, but our team was operating as a digital agency since the year 2000, building, tweaking and using Core dna for our clients as we grew."
Is Core dna built with microservices architecture?,"Yes. Microservice architecture helps us scale, which helps our clients scale. Plus, it means we can give each client the exact tools they need without burdening them with superfluous features."
How will I be charged?,"Core dna is a SaaS (Software-as-a-Service) platform, meaning you’ll be charged a monthly subscription fee, with none of the headaches of hosting or maintaining the infrastructure."
Does Core dna offer enterprise customer support?,"Of course! We pride ourselves on being more than just a software vendor. We partner with brands and agencies by providing technical support, digital strategy consulting and more. Core dna originated from an agency and has the professionals to provide insights into the platform, help with the strategy, implementation of the platform and the experts to help with solving onboarding and ongoing questions."
Does Core dna have any APIs? Is it compatible with other systems that I use?,"Yes, you can use APIs to deliver content to any channel or device, and to connect with any third-party platform."
How quickly can I get started?,"With Core dna you can launch your website and/or application in weeks, not months. We help you build complex, highly dynamic, and personalized websites rapidly.With the API-first architecture, Core dna can integrate with all your existing tools: ERP, Marketing Stack, eCommerce solutions and more. We are here to help you bring your vision to life. There’s no need to wait, you can schedule a demo today! With Core dna, you get a platform that balances marketing and IT needs. It has been developed to meet the demands of both developers and marketers. We work to provide developers the most flexible platform, while ensuring marketers have an intuitive interface for content editing and distributing and uses technology that enables the full control over digital assets.Core dna native solutions without plugins or external apps help you build solutions with confidence. We make sure that you will never have to replatform. You will always stay ahead of your competition and get access to our advanced cloud platform that includes auto-scaling, caching, and global content delivery network (CDN). 26+ updates a year for patching, security updates, and new features - all driven by our customers.Core dna provides top notch customer support with ongoing training programs to give your teams all the tools to succeed online. Core dna clients get a dedicated account and technical teams to support them.GET IN TOUCH TODAYSchedule a one-to-one consultation with your product specialistHere’s what you can expect:Walkthrough: An introduction of the Core dna platformAnalysis: Personalized recommendations based on your  business needs.Case studies: How other businesses have used Core dna to scale more efficiently Request a Demo "
What is Direct to Consumer (D2C),"D2C, or Direct to Customer, is a low barrier-to-entry eCommerce strategy that allows manufacturers and CPG brands to sell directly to the consumer. It bypasses the conventional method of negotiating with a retailer or reseller to get your product on the market. In D2C, brands sell directly to the consumer through an online medium. Going D2C has many advantages, with competitive pricing being a major benefactor for consumers. Other advantages include having direct contact with consumers to get a better understanding of them, and being able to freely experiment with new product releases and test them with a segment of your consumer-based to gain their feedback.For more information visit our ultimate guide to D2C"
What is JAMstack,"How does it work? How does it stack to the current technology?It hosts options utilising the concept of serverless architecture, ie running websites and applications without infrastructure management. JAMstack creates a static website, allowing the developer to construct the content and interfaces that users interact with.What’s the pros and cons of JAMstack? ProsIt loads quickly as it caches all data as a CDN (Content Delivery Network).It’s a secure website with less reliance on a database.It works well with developers as it allows them to use their own tech stack.ConsEditors and marketers would need to be quite technical or trained to create and update the content with coding.It’s time consuming and is a tedious process to customise templates and execute updates.It’s not cohesive. It needs more resources if dynamic features are required for your website as business grows.Heavily reliant on third-party systems and API’s. (If the third-party system goes down, your website will be affected as well).Should you use JAMstack?For organisations that don’t require much maintenance or content changes to its’ website, or if your in-house developers and editors are technically savvy, JAMstack could work.However, responding to the constant market changes and development of new applications, a CMS (Content Management System) may be a better option. This would allow one to easily create, manage, modify and publish contents in a user-friendly interface as well as being able to create digital experiences at scale.How can Core dna partner with your business?Core dna offers a digital experience platform (DXP) that has been engineered from ground up. It provides mid-market to enterprise level organisations the ability to met their objectives for their corporate website, ecommerce, intranet, extranet, mobile, social and online marketing. It is a cloud hosted SaaS (software-as-a-service) with natively integrated applications that can be built into a single user interface. Core dna offers :Great content management; makes creating and publishing content easy.Delivers excellent speed and performance with its’ flexible front end or server side frameworks.Provides extremely reliable security and application firewalls.Unparalleled and reliable support in all services.Delivers a complete product that is clean without any custom development."
How to increase B2B eCommerce sales?,"There are several ways to increase B2B eCommerce sales:1) Consistent SEO Research shows that the majority of B2B marketers consider SEO as their primary source of lead generation, even more so than B2C. In this digital age, it is no surprise that over half of B2B buyers go online before they buy to research and compare. 2) Include self-service for B2B clientsSelf-service will bring in a lot of B2B sales as it will mean your B2B company is online 24/7 and a checkout does not need to be supervised, thus never missing a customer.3) Be mobile-user friendlyThe world is utilizing mobile more than ever, even B2B target markets so it is crucial your eCommerce site is just as compatible and efficient on mobile as it is desktop, thus effecting sales.4) Do not neglect social media!According to the Content Marketing Institute, social media sites and blogs reach eight out of ten of all Internet users in the U.S. B2B companies are not missing out on the social media craze either. B2B companies use social media to market their company, sell their goods and services, and provide quality customer service. 5) Content, content, contentThe more quality content you have, the more pull of clients you will receive, thanks to the further reach and consistency. 6) Customer reviewsYou know how you always scroll down to check the customer reviews before buying? This is because customer reviews are the voice of the people. The supposedly unbiased ‘’truth’’ of the product/service. So, numerous, positive customer reviews go a long way.7) DXPPersonalized experience: Who does not want to feel special? When a client, B2B or not, feels directly catered to or has felt the company has had efforts to give them a thorough, genuine DXP, they will recommend your B2B company, use it again and leave reviews, increasing sales, but also loyalty and customer satisfaction. Building an eCommerce Business: The Ultimate Guide"
Why personalize a B2B website?,"One of the most effective ways to improve your b2b website's conversion rate is through personalization. By tailoring the user experience to each individual visitor, you can make a significant impact on your bottom line. Additionally, to add interest, strong branding and diversity; all critical factors for your business. A  SaaS Digital Experience Platform (DXP) like Core dna can help you business create these personalizations and scale you business. Core dna offers a flexible B2B eCommerce catalog, advanced segmentation, integrations and headless CMS... These are just some of the features you need to compete in today's market.With these features, you can create experiences and customizations for both users and admins. Take advantage of our decoupled environment to create rich omnichannel experiences that convert.At Core dna, we make sure you never have to replatform again and always stay ahead of the competition. With regular updates and features upgrades, your business is future-proof. We wrote a blog article about 5 Key Strategies To Strengthen Your B2B Relationships. Here are the key takeaways:- Use dynamic content: Dynamic content is content that changes based on the visitor's specific characteristics, such as their location, industry, or job title. For example, if you sell software to businesses in a specific industry, you can use dynamic content to show each visitor only the software products that are relevant to their industry. - Geo-targeting: Geo-targeting allows you to show different content to visitors from different geographic regions. This is especially useful if you have products or services that are only available in certain regions.- Creating custom landing pages: This can be done by tracking the visitor’s behavior on the site and then creating a unique landing page that is tailored to their interests.- Offering live chat:live chat: This can be a great way to engage with visitors and offer them help or support in real-time.- Personalized email campaigns: This can be done by segmenting the list of subscribers and then sending them emails that are relevant to their interests.Building rock-solid B2B eCommerce relationships do not scale easily, but it does have the potential to pay dividends that are exponentially greater than the investment that is made. GET IN TOUCH TODAYSchedule a one-to-one consultation with your product specialistHere’s what you can expect:Walkthrough: An introduction of the Core dna platformAnalysis: Personalized recommendations based on your  business needs.Case studies: How other businesses have used Core dna to scale more efficiently Request a Demo "
Why is B2B eCommerce so essential and successful?,"B2B eCommerce is now so essential and successful as the digitalisation of everything is the expectation and reality, applying to even B2B commerce. Even if one’s B2B business has physical brick and mortar, for the sake of better reach, recognition and opportunity, marketing as eCommerce allows B2B to transcend borders. There are a plethora of reasons that answer this question; from cost savings, globalization, automation, 24/7 support… Find out in the blog below:B2B eCommerce: Best Practices, Marketing Strategy & Myths"
"Which is bigger, B2B or B2C?","In the sense of scale, B2B is often larger; there is an association that B2B has more employees, stakeholders, contractors and products/services. To find out more differences between B2B and B2C, check out the blog/s below:B2B vs B2C eCommerce Marketing: 5 Key DifferencesHere's Why You Need a Hybrid B2B & B2C eCommerce Platform"
How to build a B2B eCommerce platform,"After calculating your B2B eCommerce business model and metrics, you can use a SaaS to build your eCommerce business. Check out these guides below on how to fabricate your eCommerce empire written by the experts:Building an eCommerce siteBuilding an eCommerce Business: The Ultimate Guide"
How to choose a B2B eCommerce platform,"This could be your biggest challenge yet. The B2B buying process is going digital. The right platform can help improve efficiency while enabling you to run your business online. The best B2B platforms will cover everything from enforcing best practices, consolidating data, bridging the divide between buyer and seller, invoicing, ordering, and information collection.Not sure what makes a good B2B eCommerce platform? When selecting the technology you need for your online B2B business, consider the following:Go with a headless or hybrid CMS/eCommerce platform. How does the software help with the order process, fulfill orders, and update the order management system?The platform you use should also be future-proof with multi-lingual and multiple storefront capabilities.Choose a system that can get you out of the hardware management business and go SaaS on the cloud.Can team members quickly access and operate the software?Find a vendor that can be as flexible as your business requires. Can you customize the software to meet your business’s needs?The accuracy of inventory, numbers and statistics.The customer’s shopping experience."
Benefits of B2B eCommerce,"B2B eCommerce solutions make doing business easier. From simplifying customer engagement, increasing sales, and reaching new markets, leading B2B merchants are diving into eCommerce head-first...Read more benefits below: The Top 20 Benefits of B2B eCommerce"
Can Saas improve my company’s productivity?,"Yes!Software-as-a-Service (SaaS) applications such as Core dna provide access to data from any networked device while making it easier to manage privileges, monitor data use and ensure everyone sees the same information at the same time. You can work with a team in real time without conflicts. With the SaaS model, you can customize with point-and-click ease, making the weeks or months it takes to update traditional business software seem hopelessly old-fashioned.Different from the traditional model, Core dna is a fully managed solution, meaning the application comes fully ready to use and a new website can be up in minutes. This reduces the time spent in installation and configuration and can reduce the issues that can get in the way of the software deployment.B2B eCommerce: The definitive guide"
What do digital experience platforms do?,"Digital experience platforms allow you to manage content on ever channel, including your websites, email, mobile apps, social media, and e-commerce sites. It also allows you to create and format content for every type of digitally-connected device, including IoT devices, in-store kiosks, mobile phones, tablets, and more. Digital experience platforms help you access customer data so you can continually refine your content strategy and improve customer acquisition and retention."
How to manage a franchise business with Core dna?,"Core dna helps franchise businesses in a few key ways: 1. It centralizes product, pricing, and order data management, ensuring consistency across stores. This improves the customer experience. 2. It has an innovative approach to fulfillment. Core dna system allows a distributed fulfillment model where each store fulfills only the items it has in stock for a given order. This split shipping functionality means orders can be fulfilled even if some items are out of stock locally. This helps stores complete more sales. 3. Franchise owners and managers have full visibility into orders, statuses, and fulfillment across all locations through a single portal. This improves oversight. Stores get visibility into their portion of split orders through the portal, streamlining fulfillment on their end. 4. Customers can track split orders in one place, improving transparency. This builds customer loyalty and satisfaction. 5. Core dna reduces upgrade burdens, making it easier for stores to adopt new features and improvements. 6. Centrally stored data can be more easily analyzed to gain insights into operations and inventory levels across the entire network. Analytics and reporting tools in Core dna can provide insights to optimize operations and inventory levels at each store.By addressing operational challenges and creating efficiencies, core dna helps franchises thrive and improve the customer and store experience. "
"Sam Saltis,wrong,problem,issues",Let us get back to you 
"Who is sam saltis",Sam dafdasfasfdsafdas
